Robot Name,1st Design Metaphor,Count,2nd Design Metaphor,Count,3rd Design Metaphor,Count
Sanbot Max,a person,3,a vacuum cleaner,2,a lawn mower,2
Sanbot Nano,a vacuum cleaner,3,a child,3,a kiosk,1
SAM,a kiosk,3,a computer screen,3,a trashcan,1
Sawyer,a fire hydrant,4,a snake,4,a tablet,2
Silbot 3,a woman,5,a chess piece,3,a Roomba,1
Simon,a person,3,a puppet,2,a pogo stick,1
Sipro,a panda,8,a bowling pin,3,a penguin,2
Snow,a bowling pin,2,a punching bag,2,a penguin,1
Sophia,a woman,12,"Android from the Movie ""Ex Machina""",2,a nun,1
Surena,C-3PO from the Star Wars Franchise,3,a man,4,"RoboCop from the movie ""RoboCop""",3
Talk-Torque 2,an alien,6,a nun,4,a person,4
Tapia,an egg,4,an owl,3,a light bulb,2
Tega,a chicken,3,a puppet,2,a Furby,1
Temi,a vacuum cleaner,5,a scale,2,a kiosk,2
TIAGo,a vacuum cleaner,6,a butler,2,a power washer,2
Tico,"WALL-E from the movie ""WALL-E""",3,a pair of binoculars,3,a penguin,2
TJBot,a cardboard box,4,"WALL-E from the movie ""WALL-E""",2,a garbage compactor,2
Twendy One,"E.T. from the movie ""E.T.""",7,"Baymax from the movie ""Big Hero 6""",2,a butler,2
Vector,a tank (vehicle),3,"WALL-E from the movie ""WALL-E""",2,a forklift,2
Vortex,a Roomba,4,"Eve from the movie ""WALL-E""",2,a speaker,1
Wakamaru,a woman,6,a toy,3,a bee,1
Waseda Flutist,a person,10,a cowboy,2,C-3PO from the Star Wars Franchise,2
Yumi,a speaker,6,"Eve from the movie ""WALL-E""",2,a clock,2
Zenbo,"WALL-E from the movie ""WALL-E""",4,BB-8 from the Star Wars franchise,3,a helmet,2
Zeno,"Static from the comic ""Static Shock""",6,an astronaut,5,a person,5
