Robot Name	Link	Height (cm)	Weight (kg)	Year	Country of Origin	Most Prominent Color	Mechanical Embodiment?	Zoomorphic Embodiment?	Humanoid Embodiment?	Can Move? (moving from A to B)	number of wheels	Screen Face?	Static Face?	Mechanical Face?	number of legs	number of arms	number of eyes	Matte Body?	Mouth?	Nose?	Eyebrows?	Cheeks/blush?	Hair Follicles?	Mechanical Hair?	Furry?	Ears?	Eyelids?	Pupils?	Irises?	Eyelashes?	Lips?	Eye placement (up, raised, center, low, or down?)	Distance between eyes (close, middle, far, opposite ends)	mechanical spline lips?	symmetric embodiment?	Exposed Wires?	Industry?	Toy/doll/child?	Does it ride on something?	Treads?	Hard Exterior?	High Waist-Hip Ratio	HIgh Shoulder-Waist Ratio	High Shoulder-Hip Ratio	Low Shoulder-Hip Ratio
Deskbot	https://www.rockyrobots.com/deskbot	20	UNK	2018	Germany	white	0	0	1	0	0	0	1	0	0	0	2	0	1	1	0	0	0	0	0	1	0	1	1	0	0	center	middle	0	1	0	1	0	0	0	1	0	0	0	0
Diego-san	https://robots.ieee.org/robots/diegosan/	130	35	2010	United States	blue, silver	1	0	1	1	0	0	0	0	2	2	2	0	1	1	1	1	0	0	0	1	1	1	1	1	1	center	middle	0	1	1	0	1	0	0	1	0	0	0	0
Domgy	http://www.roobo.com/en/#pro	25	UNK	2016	China	white	1	0	0	1	3	1	0	0	2	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	center	middle	0	1	0	1	0	0	0	1	0	0	0	0
Dreamer	https://robots.ieee.org/robots/dreamer/	172.7	90.7	2012	United States	white, orange	1	1	1	1	3	0	0	0	0	2	2	0	0	1	0	0	0	1	0	1	1	1	1	0	0	center	middle	0	1	1	0	1	0	0	1	0	0	0	0
ECCE	https://robots.ieee.org/robots/ecce	105	26	2009	France	white	1	0	1	1	2-4	1	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	raised	0	0	1	1	0	0	0	0	1	0	0	0	0
Elli-Q	https://elliq.com/	35	UNK	2019	Israel	white	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0
Emiew 3	https://robots.ieee.org/robots/emiew/	90	15	2016	Japan	red, white	0	0	1	1	4	0	1	0	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	raised	middle	0	1	0	1	1	0	0	1	1	1	0	0
eMuu	http://www.bartneck.de/2002/09/01/emuu/	50	UNK	2002	New Zealand	blue	0	0	0	0	0	0	1	0	0	0	1	1	1	0	1	0	0	0	0	0	0	1	1	0	1	center	0	1	1	0	0	0	1	0	0	0	0	0	1
EMYS	https://robots.ieee.org/robots/emys/	38	4	2018	United States	blue. white	1	0	0	0	0	0	0	1	0	0	2	0	1	0	1	0	0	0	0	0	0	1	1	0	0	raised	far	0	1	0	1	0	1	0	1	0	0	0	1
Enon	http://www.fujitsu.com/global/about/resources/news/press-releases/2005/0913-01.html	130	50	2005	Japan	blue, green	1	0	1	1	3-4	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0
Erica	https://robots.ieee.org/robots/erica/	166	UNK	2015	Japan	beige	0	0	1	0	0	0	0	0	2	2	2	0	1	1	1	1	1	0	0	1	1	1	1	1	1	raised	middle	0	1	0	0	1	1	0	0	0	0	0	0
Fable	https://robots.ieee.org/robots/fable/	32	2.1	2017	Denmark	white	1	0	1	1	2	1	0	0	0	2	2	1	0	0	0	0	0	0	0	0	1	1	1	0	0	raised	middle	0	1	0	1	0	1	0	1	0	1	0	0
Farnese	http://farnese.roobo.com/en/	140	40	2019	China	white	1	0	1	1	2	0	1	0	0	0	2	0	0	0	0	0	0	0	0	2	0	1	0	0	0	center	middle	0	1	0	1	0	1	0	1	0	0	0	0
Flash	https://robots.ieee.org/robots/flash/?gallery=photo2	125	40	2012	Poland	silver	1	0	1	1	2	0	0	1	0	1	2	0	1	1	0	0	0	0	0	0	1	1	0	0	0	raised	middle	0	0	1	0	0	0	0	1	0	0	0	0
Flobi	https://robots.ieee.org/robots/flobi/	28	UNK	2009	Germany	beige	1	0	1	0	0	0	0	1	0	0	2	1	1	1	1	1	0	1	0	1	1	1	1	0	1	center	middle	0	1	0	0	1	0	0	1	0	0	0	0
Furby	https://robots.ieee.org/robots/furby/	20.3	UNK	1998	United States	blue, orange, yellow	0	1	0	0	0	0	1	0	2	0	2	1	1	0	0	0	0	0	1	1	1	1	1	1	1	center	close	0	1	0	1	0	1	0	0	0	0	0	1
FURo-i	http://www.myfuro.com/furo-i/service-feature/	30	UNK	2014	South Korea	white	1	0	0	1	3	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	center	middle	0	1	0	1	1	1	0	1	0	0	0	1
FURo-S	https://www.tradekorea.com/product/detail/P332748/FURo-S-Smart-Service-Robot.html	150	UNK	2014	South Korea	red, blue	1	0	1	1	3	1	0	0	0	0	2	0	1	1	1	1	0	1	0	1	1	1	1	1	1	center	middle	0	1	0	1	0	0	0	1	0	0	0	0
Gemini	https://www.roboticstoday.com/robots/gemini-description	133	32	1985	United Kingdom	white	1	0	0	1	3-4	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0
Geminoid DK	https://robots.ieee.org/robots/geminoiddk/	130	40	2011	Denmark	beige	0	0	1	0	0	0	1	0	2	2	2	1	1	1	1	1	1	0	0	1	1	1	1	1	1	raised	middle	0	1	0	0	0	0	0	0	0	0	0	0
Geminoid F	https://robots.ieee.org/robots/geminoidf/	140	30	2010	Japan	beige	0	0	1	0	0	0	1	0	2	2	2	1	1	1	1	1	1	0	0	1	1	1	1	1	1	raised	middle	0	1	0	0	0	0	0	0	0	0	0	0
Geminoid HI	https://robots.ieee.org/robots/geminoidhi1/	140	60	2006	Japan	beige	0	0	1	0	0	0	1	0	2	2	2	1	1	1	1	1	1	0	0	1	1	1	1	1	1	raised	middle	0	1	0	0	0	1	0	0	0	0	0	0
Heasy	https://heaserobotics.com/	150	UNK	2018	France	white, blue	1	0	1	1	3-4	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	center	middle	0	1	0	1	0	0	0	1	1	0	0	1
HEXA	https://robots.ieee.org/robots/hexa/	12	1.75	2017	China	black	1	1	0	1	0	0	1	0	6	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	raised	close	0	1	0	1	0	1	0	1	0	0	0	0
HOSPI	https://news.panasonic.com/global/topics/2015/44009.html	138	170	2013	Singapore	pink, green, blue	1	0	1	1	3-4	1	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	1	0	0	0	raised	middle	0	1	0	0	0	0	0	1	0	0	0	0
HRP-2	https://robots.ieee.org/robots/hrp2/	154	58	2002	Japan	blue, yellow	0	0	1	1	0	0	1	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
HRP-4	https://robots.ieee.org/robots/hrp4/	151	39	2010	Japan	blue	0	0	1	1	0	0	1	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0
HRP-4C	https://robots.ieee.org/robots/hrp4c/	160	46	2009	Japan	silver, beige	0	0	1	1	0	0	1	0	2	2	2	0	1	1	1	1	1	0	0	1	1	1	1	1	1	center	middle	0	1	0	0	1	1	0	1	0	0	0	0
Hub	https://www.cnet.com/products/lg-hub-robot/preview/	15	UNK	2017	South Korea	blue	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	center	middle	0	1	0	1	0	1	0	1	0	0	0	1
Human Support Robot	https://robots.ieee.org/robots/hsr	43	37	2012	Japan	white, black	1	0	0	1	4	1	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	low	middle	0	0	0	0	1	1	0	1	0	0	0	0
iCat	https://www.technologyreview.com/s/408308/an-emotional-cat-robot/	38	UNK	2007	Netherlands	yellow	1	1	0	0	0	0	0	1	0	0	2	1	1	1	1	0	0	0	0	1	1	1	0	0	1	raised	middle	1	1	0	0	0	0	0	1	0	0	0	1
iCub	https://robots.ieee.org/robots/icub/	104	25	2004	Italy	white	1	0	1	1	0	0	1	0	2	2	2	0	1	1	1	0	0	0	0	1	1	1	0	0	0	center	middle	0	1	1	0	1	0	0	1	1	0	0	0
iPal	https://www.ipalrobot.com/	106	12	2017	United States	blue	1	0	1	1	4	0	1	0	2	2	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	center	middle	0	1	0	1	1	1	0	1	0	0	0	0
iRobiQ	http://inrobotek.com.tr/ProductWithTab.aspx?MenuID=27	30	UNK	2009	South Korea	white	1	0	1	1	3-4	0	1	0	0	2	2	0	1	0	0	1	0	0	0	0	0	1	0	0	0	raised	middle	0	1	0	1	0	0	0	1	0	0	0	0
Jelly	http://jelly.roobo.com/en/	20	UNK	2017	China	black, white	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1
Jibo	https://robots.ieee.org/robots/jibo/	28	2.7	2014	United States	blue	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1
Jimmy	http://www.21stcenturyrobot.com/about-jimmy	60	UNK	2014	United States	white	0	0	1	1	0	0	1	0	2	2	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	low	middle	0	1	0	0	0	0	0	1	0	0	0	0
K5	https://robots.ieee.org/robots/k5	158.75	180.53	2013	United States	white	1	0	0	1	3	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	low	middle	0	1	0	1	1	0	0	1	0	0	0	1
Kaspar	https://robots.ieee.org/robots/kaspar/	55	15	2005	United Kingdom	red	0	0	1	0	0	0	1	0	0	2	2	0	1	1	0	0	1	0	0	0	1	1	1	0	0	raised	middle	0	1	0	0	1	1	0	0	0	0	0	0
Keepon	https://robots.ieee.org/robots/keepon/	27.5	1.5	2003	United States	yellow	0	1	0	0	0	0	1	0	0	0	2	1	0	1	0	0	0	0	0	0	0	1	0	0	0	center	middle	0	1	0	0	0	0	0	0	0	0	0	0
Kibo	https://robots.ieee.org/robots/kibo	120	42	2011	South Korea	silver	1	0	1	1	0	0	1	0	2	2	2	0	1	0	1	0	0	0	0	0	1	1	0	0	1	center	middle	1	1	0	1	1	1	0	1	0	0	0	0
Kiki	https://www.kiki.ai/	27.7	1.6	2019	United States	white	1	1	0	0	0	1	1	0	0	0	2	1	0	1	1	0	0	0	0	0	1	1	1	0	0	center	middle	0	1	0	1	0	0	0	1	0	0	0	1
Kirobo	http://www.robo-garage.com/en/prd/p_26/index.html	34	1	2013	Japan	white, black	0	0	1	1	0	0	1	0	2	2	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	center	middle	0	1	0	1	0	0	0	1	0	0	0	0
Kismet	https://robots.ieee.org/robots/kismet/	38	7	1998	United States	silver	1	1	0	0	0	0	0	1	0	0	2	0	1	0	1	0	1	0	0	1	1	1	1	1	1	center	middle	1	1	1	0	1	0	0	1	0	0	0	0
Kiwi	https://robots.ieee.org/robots/kiwi/	30	UNK	2016	United States	green	0	1	0	0	0	1	0	0	2	2	2	1	1	0	1	0	1	0	1	1	0	1	1	0	0	center	middle	0	1	0	0	0	1	0	1	0	0	0	1
KK-X1	http://www.gblrobotics.com/kkx1.html	160	80	2017	Russia	white	1	0	1	1	3	0	1	0	0	2	2	0	0	1	0	0	0	0	0	0	1	1	0	0	0	center	middle	0	1	0	1	0	0	0	1	0	1	0	0
Kobian	https://robots.ieee.org/robots/kobian/	140	62	2007	Japan	white	1	0	1	1	0	0	0	1	2	2	2	0	1	1	1	0	0	0	0	1	1	1	0	0	1	raised	middle	1	1	1	0	0	0	0	1	0	0	0	0
Kodomoroid	http://www.geminoid.jp/en/robots.html	165	UNK	2014	Japan	beige	0	0	1	0	0	0	1	0	2	2	2	1	1	1	1	1	1	0	0	1	1	1	1	1	1	raised	middle	0	1	0	0	1	1	0	0	0	0	0	0
Kuri	https://robots.ieee.org/robots/kuri/	50	6	2017	United States	white, black	1	0	1	1	4	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	center	middle	0	1	0	1	1	0	0	1	0	0	0	1
Leka	https://leka.io/	20	UNK	2018	France	white	1	0	0	1	0	1	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	1	0	0	0	center	middle	0	1	0	1	1	0	0	1	0	0	0	0
Leonardo	https://robots.ieee.org/robots/leonardo/	76.2	UNK	2002	United States	brown	0	1	0	0	0	0	1	0	2	2	2	1	1	1	1	1	0	0	1	1	1	1	1	1	1	center	middle	0	1	0	0	0	1	0	0	0	0	0	1
Loomo	https://store.segway.com/segway-loomo-mini-transporter-robot-sidekick	65	19	2018	United States	black	1	0	0	1	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	center	middle	0	1	0	1	0	0	0	1	0	0	0	0
LYNX	https://www.ubtrobot.com/products/lynx-with-amazon-alexa?ls=en	44	2.3	2017	United States	white	0	0	1	1	0	0	1	0	2	2	2	1	1	0	0	0	0	0	0	0	0	1	0	0	0	center	middle	0	1	0	1	0	0	0	1	0	0	0	0
M1	https://robots.ieee.org/robots/m1/	160	165	2011	United States	white	1	0	1	1	4	0	1	0	0	2	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	center	middle	0	1	1	0	1	0	0	1	0	0	0	0
Mabu	https://robots.ieee.org/robots/mabu/	31	UNK	2015	United States	yellow	0	0	1	0	0	0	1	0	0	0	2	1	1	0	0	0	0	1	0	0	1	1	1	0	0	center	middle	0	1	0	1	0	0	0	1	0	0	0	0
Mahru	https://robots.ieee.org/robots/mahru/	140	65	2005	South Korea	white/blue	0	0	1	1	0	0	1	0	2	2	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	raised	middle	0	1	1	0	0	1	0	1	0	0	0	0
Maki	https://www.wevolver.com/wevolver.staff/maki.robot/#:~:text=MAKI%20is%20a%20communication%20robot,an%20Arbotix%20Robocontroller%20or%20Arduino.	34.2	1.86	2013	United States	white	0	0	1	0	0	0	0	1	0	0	2	0	1	0	0	0	0	0	0	1	1	1	1	0	0	center	middle	0	1	0	0	0	0	0	1	0	0	0	0
Manav	https://www.livemint.com/Industry/rc86Iu7h3rb44087oDts1H/Meet-Manav-Indias-first-3Dprinted-humanoid-robot.html	61	2	2014	India	white	0	0	1	1	0	0	1	0	2	2	2	1	1	0	0	0	0	0	0	0	0	1	0	0	0	center	middle	0	1	1	0	1	0	0	1	0	1	0	0
MarsCat	https://www.elephantrobotics.com/en/mars-en/	32.9	2.5	2020	China	white, black	0	1	0	1	0	0	1	0	4	0	2	0	1	1	0	0	0	0	0	1	0	1	0	0	0	center	middle	0	1	0	1	1	1	0	1	0	0	0	0
